i;j;player;rival;seed;pScore;rScore;winner;secs;pFled;rFled;pHits;rHits;pKnocked;rKnocked;pCol;rCol;detail
4;8;HormigueroSenuelo;Codicia;4246;24;31;Rival;9;0;11;0;0;0;0;24;34;P:RecV=11/11/0/0/0 P:RecV=13/13/0/0/0 P:SeñC=0/0/0/0/0 R:RecC=12/12/0/0/4 R:RecC=9/12/0/0/3 R:RecC=10/10/0/0/4 
4;9;HormigueroSenuelo;Mixta;4246;19;15;Player;9;2;0;0;8;8;0;24;17;P:RecV=12/13/0/0/0 P:RecV=7/10/0/1/1 P:SeñC=0/1/0/7/1 R:GuaC=0/0/4/0/0 R:CazC=1/1/4/0/0 R:RecV=14/16/0/0/0 
5;0;Senuelos;Muralla;4246;12;25;Rival;9;2;2;0;6;6;0;16;29;P:SeñC=0/0/0/4/1 P:SeñV=0/2/0/1/1 P:RecV=12/14/0/1/0 R:GuaC=0/0/6/0/0 R:RecC=12/15/0/0/1 R:RecC=13/14/0/0/1 
5;1;Senuelos;Fortin;4246;3;14;Rival;10;6;2;0;10;10;0;12;18;P:SeñC=3/3/0/6/0 P:SeñV=0/4/0/1/0 P:RecV=0/5/0/3/6 R:GuaC=0/2/6/0/0 R:CazV=0/2/4/0/0 R:RecC=14/14/0/0/2 
5;2;Senuelos;Jauria;4246;11;16;Rival;9;5;3;0;5;5;0;18;20;P:SeñC=1/2/0/1/3 P:SeñV=4/4/0/1/1 P:RecV=6/12/0/3/1 R:CazC=2/2/2/0/0 R:CazV=4/6/3/0/0 R:RecV=10/12/0/0/3 
5;3;Senuelos;Hormiguero;4246;24;24;None;9;0;4;0;0;0;0;24;24;P:SeñC=6/6/0/0/0 P:SeñV=5/5/0/0/0 P:RecV=13/13/0/0/0 R:RecV=9/9/0/0/0 R:RecV=7/7/0/0/3 R:RecV=8/8/0/0/1 
5;4;Senuelos;HormigueroSenuelo;4246;18;20;Rival;9;1;2;0;0;0;0;19;23;P:SeñC=0/0/0/0/1 P:SeñV=6/6/0/0/0 P:RecV=12/13/0/0/0 R:RecV=11/13/0/0/0 R:RecV=9/10/0/0/2 R:SeñC=0/0/0/0/0 
5;5;Senuelos;Senuelos;4246;18;16;Player;9;2;2;0;0;0;0;19;22;P:SeñC=0/0/0/0/0 P:SeñV=6/7/0/0/0 P:RecV=12/12/0/0/2 R:SeñC=0/1/0/0/0 R:SeñV=4/6/0/0/1 R:RecV=12/15/0/0/1 
5;6;Senuelos;Engano;4246;18;18;None;9;0;15;0;0;0;0;19;19;P:SeñC=0/0/0/0/0 P:SeñV=4/4/0/0/0 P:RecV=14/15/0/0/0 R:SeñC=0/0/0/0/2 R:RecC=7/8/0/0/7 R:RecC=11/11/0/0/6 
5;7;Senuelos;Emboscada;4246;6;12;Rival;9;6;2;0;4;4;0;15;17;P:SeñC=4/6/0/1/0 P:SeñV=0/4/0/1/1 P:RecV=2/5/0/2/5 R:CazV=0/2/4/0/0 R:SeñV=2/2/0/0/0 R:RecC=10/13/0/0/2 
5;8;Senuelos;Codicia;4246;15;20;Rival;9;0;16;0;0;0;0;18;23;P:SeñC=0/1/0/0/0 P:SeñV=2/2/0/0/0 P:RecV=13/15/0/0/0 R:RecC=7/7/0/0/5 R:RecC=4/7/0/0/6 R:RecC=9/9/0/0/5 
5;9;Senuelos;Mixta;4246;19;17;Player;9;5;0;0;5;5;0;21;17;P:SeñC=0/0/0/4/4 P:SeñV=7/7/0/1/1 P:RecV=12/14/0/0/0 R:GuaC=0/0/4/0/0 R:CazC=2/2/1/0/0 R:RecV=15/15/0/0/0 
6;0;Engano;Muralla;4246;8;29;Rival;10;12;1;0;10;10;0;10;29;P:SeñC=0/0/0/7/1 P:RecC=6/7/0/1/5 P:RecC=2/3/0/2/6 R:GuaC=0/0/10/0/0 R:RecC=15/15/0/0/0 R:RecC=14/14/0/0/1 
6;1;Engano;Fortin;4246;11;15;Rival;9;19;0;0;5;5;0;12;17;P:SeñC=0/0/0/4/3 P:RecC=7/7/0/0/8 P:RecC=4/5/0/1/8 R:GuaC=0/0/5/0/0 R:CazV=0/2/0/0/0 R:RecC=15/15/0/0/0 
6;2;Engano;Jauria;4246;4;15;Rival;10;17;0;0;9;9;0;7;17;P:SeñC=0/0/0/2/3 P:RecC=2/2/0/4/7 P:RecC=2/5/0/3/7 R:CazC=0/0/4/0/0 R:CazV=0/2/5/0/0 R:RecV=15/15/0/0/0 
6;3;Engano;Hormiguero;4246;34;28;Player;9;0;2;0;0;0;0;36;30;P:SeñC=4/6/0/0/0 P:RecC=15/15/0/0/0 P:RecC=15/15/0/0/0 R:RecV=10/10/0/0/0 R:RecV=10/10/0/0/1 R:RecV=8/10/0/0/1 
6;4;Engano;HormigueroSenuelo;4246;23;21;Player;9;8;0;0;0;0;0;24;27;P:SeñC=3/3/0/0/1 P:RecC=8/8/0/0/5 P:RecC=12/13/0/0/2 R:RecV=10/13/0/0/0 R:RecV=11/14/0/0/0 R:SeñC=0/0/0/0/0 
6;5;Engano;Senuelos;4246;21;17;Player;9;6;1;0;0;0;0;23;20;P:SeñC=0/0/0/0/0 P:RecC=11/13/0/0/2 P:RecC=10/10/0/0/4 R:SeñC=0/1/0/0/1 R:SeñV=2/4/0/0/0 R:RecV=15/15/0/0/0 
6;6;Engano;Engano;4246;16;18;Rival;9;9;7;0;0;0;0;17;23;P:SeñC=0/0/0/0/0 P:RecC=7/8/0/0/4 P:RecC=9/9/0/0/5 R:SeñC=2/2/0/0/1 R:RecC=9/11/0/0/3 R:RecC=7/10/0/0/3 
