i;j;player;rival;seed;pScore;rScore;winner;secs;pFled;rFled;pHits;rHits;pKnocked;rKnocked;pCol;rCol;detail
5;5;Senuelos;Senuelos;4246;5;10;Rival;9;7;5;0;0;0;0;7;12;P:SeñC=0/0/0/0/0 P:SeñV=2/2/0/0/1 P:RecV=3/5/0/0/6 R:SeñC=0/0/0/0/2 R:SeñV=0/0/0/0/0 R:RecV=10/12/0/0/3 
5;6;Senuelos;Engano;4246;19;18;Player;9;0;11;0;0;0;0;19;18;P:SeñC=0/0/0/0/0 P:SeñV=4/4/0/0/0 P:RecV=15/15/0/0/0 R:SeñC=0/0/0/0/1 R:RecC=8/8/0/0/6 R:RecC=10/10/0/0/4 
5;7;Senuelos;Emboscada;4246;2;9;Rival;9;6;7;0;4;4;0;6;9;P:SeñC=0/2/0/0/0 P:SeñV=2/2/0/0/0 P:RecV=0/2/0/4/6 R:CazV=0/0/4/0/0 R:SeñV=0/0/0/0/2 R:RecC=9/9/0/0/5 
5;8;Senuelos;Codicia;4246;17;19;Rival;9;0;17;0;0;0;0;17;20;P:SeñC=0/0/0/0/0 P:SeñV=2/2/0/0/0 P:RecV=15/15/0/0/0 R:RecC=6/6/0/0/6 R:RecC=3/4/0/0/7 R:RecC=10/10/0/0/4 
5;9;Senuelos;Mixta;4246;12;14;Rival;10;5;0;0;9;9;0;15;16;P:SeñC=0/0/0/5/3 P:SeñV=0/1/0/4/0 P:RecV=12/14/0/0/2 R:GuaC=0/0/5/0/0 R:CazC=0/1/4/0/0 R:RecV=14/15/0/0/0 
6;0;Engano;Muralla;4246;8;30;Rival;9;17;0;0;5;5;0;10;30;P:SeñC=0/0/0/3/3 P:RecC=3/5/0/2/6 P:RecC=5/5/0/0/8 R:GuaC=0/0/5/0/0 R:RecC=15/15/0/0/0 R:RecC=15/15/0/0/0 
6;1;Engano;Fortin;4246;5;15;Rival;10;17;0;0;9;9;0;6;17;P:SeñC=0/0/0/4/2 P:RecC=2/2/0/1/9 P:RecC=3/4/0/4/6 R:GuaC=0/0/6/0/0 R:CazV=0/2/3/0/0 R:RecC=15/15/0/0/0 
6;2;Engano;Jauria;4246;6;15;Rival;9;17;0;0;5;5;0;8;17;P:SeñC=0/1/0/0/2 P:RecC=3/3/0/2/8 P:RecC=3/4/0/3/7 R:CazC=0/0/3/0/0 R:CazV=0/2/2/0/0 R:RecV=15/15/0/0/0 
6;3;Engano;Hormiguero;4246;36;29;Player;9;0;2;0;0;0;0;40;31;P:SeñC=6/7/0/0/0 P:RecC=15/15/0/0/0 P:RecC=15/18/0/0/0 R:RecV=9/11/0/0/0 R:RecV=10/10/0/0/1 R:RecV=10/10/0/0/1 
6;4;Engano;HormigueroSenuelo;4246;23;21;Player;9;7;1;0;0;0;0;25;24;P:SeñC=2/2/0/0/0 P:RecC=9/9/0/0/5 P:RecC=12/14/0/0/2 R:RecV=10/13/0/0/0 R:RecV=11/11/0/0/1 R:SeñC=0/0/0/0/0 
6;5;Engano;Senuelos;4246;13;16;Rival;9;14;2;0;0;0;0;13;17;P:SeñC=0/0/0/0/1 P:RecC=5/5/0/0/7 P:RecC=8/8/0/0/6 R:SeñC=0/0/0/0/1 R:SeñV=2/2/0/0/1 R:RecV=14/15/0/0/0 
6;6;Engano;Engano;4246;28;27;Player;9;3;3;0;0;0;0;31;28;P:SeñC=2/2/0/0/1 P:RecC=14/15/0/0/0 P:RecC=12/14/0/0/2 R:SeñC=2/3/0/0/0 R:RecC=15/15/0/0/0 R:RecC=10/10/0/0/3 
6;7;Engano;Emboscada;4246;15;21;Rival;9;11;0;0;4;4;0;21;21;P:SeñC=2/2/0/1/1 P:RecC=7/10/0/1/4 P:RecC=6/9/0/2/6 R:CazV=2/2/4/0/0 R:SeñV=4/4/0/0/0 R:RecC=15/15/0/0/0 
6;8;Engano;Codicia;4246;34;34;None;9;0;3;0;0;0;0;36;40;P:SeñC=4/5/0/0/0 P:RecC=15/15/0/0/0 P:RecC=15/16/0/0/0 R:RecC=12/15/0/0/1 R:RecC=10/13/0/0/1 R:RecC=12/12/0/0/1 
6;9;Engano;Mixta;4246;1;15;Rival;9;24;0;0;8;8;0;1;15;P:SeñC=0/0/0/4/3 P:RecC=0/0/0/3/11 P:RecC=1/1/0/1/10 R:GuaC=0/0/4/0/0 R:CazC=0/0/4/0/0 R:RecV=15/15/0/0/0 
7;0;Emboscada;Muralla;4246;2;24;Rival;9;7;5;0;7;7;0;10;27;P:CazV=0/3/0/2/0 P:SeñV=2/2/0/0/1 P:RecC=0/5/0/5/6 R:GuaC=0/0/7/0/0 R:RecC=9/12/0/0/4 R:RecC=15/15/0/0/1 
7;1;Emboscada;Fortin;4246;14;10;Player;9;3;0;3;3;3;3;18;14;P:CazV=0/2/3/2/0 P:SeñV=2/2/0/1/0 P:RecC=12/14/0/0/3 R:GuaC=0/0/3/0/0 R:CazV=1/3/0/1/0 R:RecC=9/11/0/2/0 
7;2;Emboscada;Jauria;4246;0;3;Rival;10;7;7;5;6;6;5;6;7;P:CazV=0/0/5/0/0 P:SeñV=0/1/0/1/1 P:RecC=0/5/0/5/6 R:CazC=0/2/5/0/0 R:CazV=0/2/1/0/0 R:RecV=3/3/0/5/7 
